trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.55, 'e': 0.9801986733067554}",30,0,-180.99881880836517,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.55, 'e': 0.9704455335485082}",20,0,-102.40493945073227,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.55, 'e': 0.9607894391523232}",20,0,-110.82113590173171,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.55, 'e': 0.9512294245007139}",20,0,-78.64858867523891,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.55, 'e': 0.9417645335842487}",20,0,-73.28610450210839,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.55, 'e': 0.9323938199059482}",25,0,-42.88419504725843,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.55, 'e': 0.9231163463866358}",30,0,-184.26452615263906,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
8,False,"{'a': 0.55, 'e': 0.9139311852712282}",25,0,-49.934911837443465,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.55, 'e': 0.9048374180359595}",20,0,-196.9215122571214,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.55, 'e': 0.8958341352965282}",20,0,-123.39803961022608,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.55, 'e': 0.8869204367171575}",20,0,-68.21026141142879,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.55, 'e': 0.8780954309205614}",25,0,-132.4681963285281,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.55, 'e': 0.8693582353988057}",20,0,-39.708965362532936,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.55, 'e': 0.8607079764250578}",30,0,-114.55795413487517,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.55, 'e': 0.8521437889662113}",20,0,-83.96661625741112,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.55, 'e': 0.8436648165963837}",25,0,-78.82065171390748,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.55, 'e': 0.835270211411272}",30,12,-131.0728282694849,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
18,False,"{'a': 0.55, 'e': 0.8269591339433623}",25,0,-92.22737715503833,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
19,False,"{'a': 0.55, 'e': 0.8187307530779818}",25,0,-76.65174484360952,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.55, 'e': 0.8105842459701872}",20,0,-70.17504445090157,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
21,False,"{'a': 0.55, 'e': 0.8025187979624785}",30,0,-101.83931994228354,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.55, 'e': 0.794533602503334}",25,0,-231.20622249289337,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
23,False,"{'a': 0.55, 'e': 0.7866278610665534}",20,9,7.669426330362669,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.55, 'e': 0.7788007830714049}",25,0,-66.429426482997,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.55, 'e': 0.7710515858035663}",20,0,-93.19161084813143,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
