trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9801986733067554, 'a': 0.5}",30,0,-151.37749865850037,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",0
2,False,"{'e': 0.9704455335485082, 'a': 0.5}",25,0,-159.50370223947002,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,False,"{'e': 0.9607894391523232, 'a': 0.5}",25,0,-174.52300273709443,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
4,False,"{'e': 0.9512294245007139, 'a': 0.5}",20,1,-102.71506298488758,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
5,False,"{'e': 0.9417645335842487, 'a': 0.5}",20,0,-43.88190042832977,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'e': 0.9323938199059482, 'a': 0.5}",20,0,-201.8073690014717,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
7,False,"{'e': 0.9231163463866358, 'a': 0.5}",25,0,-102.78835924408168,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'e': 0.9139311852712282, 'a': 0.5}",20,0,-44.48865601555601,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'e': 0.9048374180359595, 'a': 0.5}",30,0,-179.0919958413381,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
10,False,"{'e': 0.8958341352965282, 'a': 0.5}",20,0,-154.16661364756337,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
11,False,"{'e': 0.8869204367171575, 'a': 0.5}",25,8,-74.73381361909784,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
12,False,"{'e': 0.8780954309205614, 'a': 0.5}",20,0,-73.75465404169665,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'e': 0.8693582353988057, 'a': 0.5}",25,4,-57.63795982108011,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 0}",1
14,False,"{'e': 0.8607079764250578, 'a': 0.5}",20,0,-136.36496716084622,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
15,False,"{'e': 0.8521437889662113, 'a': 0.5}",30,17,0.16664336637365018,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
16,False,"{'e': 0.8436648165963837, 'a': 0.5}",25,0,-83.14319555621384,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
17,False,"{'e': 0.835270211411272, 'a': 0.5}",30,0,-260.3009854178868,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 5}",0
18,False,"{'e': 0.8269591339433623, 'a': 0.5}",30,0,-244.24835914950083,"{0: 18, 1: 1, 2: 4, 3: 3, 4: 4}",0
19,False,"{'e': 0.8187307530779818, 'a': 0.5}",25,0,-131.63413335532147,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
20,False,"{'e': 0.8105842459701872, 'a': 0.5}",25,0,-106.1845997106313,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
1,True,"{'e': 0, 'a': 0}",20,0,-262.6939972884132,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 5}",0
2,True,"{'e': 0, 'a': 0}",20,0,-15.324001917779992,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",20,0,-14.15878838522384,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",25,0,-86.01570423994711,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,True,"{'e': 0, 'a': 0}",25,5,-71.465368362012,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
6,True,"{'e': 0, 'a': 0}",35,0,-142.66239821267965,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
7,True,"{'e': 0, 'a': 0}",20,12,-30.406651249420268,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,0,-88.7887318689685,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,True,"{'e': 0, 'a': 0}",25,0,-134.67408085370045,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
10,True,"{'e': 0, 'a': 0}",25,0,-86.82613695473992,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
